Cluster,Bathrooms,Surface,Floor,Price
santa giulia_000,1,52,100,135000
santa giulia_000,1,65,3,160000
santa giulia_000,1,50,100,149000
santa giulia_000,1,80,4,249000
santa giulia_000,1,55,2,110000
santa giulia_000,1,70,3,148000
santa giulia_000,1,30,3,113000
santa giulia_000,1,75,4,125000
santa giulia_000,1,85,4,290000
santa giulia_000,1,44,5,219000
santa giulia_001,1,50,0,139000
santa giulia_001,1,60,1,141000
santa giulia_001,1,86,1,160000
santa giulia_001,1,57,0,148000
santa giulia_001,1,65,1,169000
santa giulia_010,1,117,5,265000
santa giulia_010,1,140,5,198000
ponte lambro_000,1,60,3,120000
ponte lambro_000,1,52,2,112000
ponte lambro_000,1,53,3,140000
ponte lambro_000,1,75,2,149000
ponte lambro_000,1,60,3,139000
ponte lambro_000,1,52,2,119000
ponte lambro_000,1,70,3,100000
ponte lambro_000,1,60,2,115000
ponte lambro_000,1,52,2,130000
ponte lambro_001,1,66,-1 - 1,120000
ponte lambro_100,2,80,4,220000
rogoredo_000,1,53,1,110000
rogoredo_000,1,61,-1 - 1,180000
rogoredo_000,1,75,1,210000
rogoredo_000,1,80,1,230000
rogoredo_000,1,87,1,250000
rogoredo_001,1,78,5,239000
rogoredo_001,1,70,2,209000
rogoredo_001,1,60,100,225000
rogoredo_001,1,85,100,265000
rogoredo_001,1,55,100,140000
rogoredo_001,1,78,5,239000
rogoredo_001,1,55,3,175000
rogoredo_001,1,70,2,220000
rogoredo_100,2,85,1,245000
rogoredo_100,2,90,1,260000
rogoredo_101,2,80,6,295000
rogoredo_110,2,100,1,250000
niguarda_000,1,115,-1 - 3,187500
niguarda_000,1,100,0,295000
niguarda_000,1,96,-1 - 1,260000
niguarda_001,1,105,2,245000
niguarda_010,1,75,100,215000
niguarda_010,1,78,2,220000
niguarda_010,1,60,100,189000
niguarda_010,1,84,4,260000
niguarda_010,1,61,3,265000
niguarda_010,1,73,2,200000
niguarda_010,1,75,100,229000
niguarda_010,1,60,3,165000
niguarda_010,1,55,2,184000
niguarda_010,1,60,2,169000
niguarda_010,1,85,2,165000
niguarda_010,1,52,2,149000
niguarda_010,1,68,5,169000
niguarda_010,1,73,4,199000
niguarda_011,1,76,1,230000
niguarda_100,2,65,0,269000
niguarda_101,2,70,3,270000
prato centenaro_000,1,70,0,169000
prato centenaro_001,1,60,3,158000
prato centenaro_001,1,68,100,182000
prato centenaro_010,1,98,4,270000
ca' granda_000,2,113,0,200000
ca' granda_010,2,83,0,149000
ca' granda_100,1,30,1,85000
ca' granda_101,1,60,100,260000
ca' granda_101,1,30,100,110000
ca' granda_101,1,70,2,229000
istria_000,1,41,3,139000
istria_000,1,65,100,218000
istria_000,1,44,100,139000
istria_000,1,55,100,166000
istria_001,1,90,0,270000
istria_001,1,90,0,270000
bruzzano_000,1,85,2,210000
bruzzano_000,1,85,2,200000
bruzzano_000,1,30,2,85000
bruzzano_000,1,75,2,170000
bruzzano_000,1,61,2,120000
bruzzano_000,1,55,100,139000
bruzzano_000,1,75,3,139000
bruzzano_000,1,60,2,134000
bruzzano_001,1,55,0,180000
bruzzano_001,1,46,0,110000
bruzzano_001,1,40,0,95000
bruzzano_001,1,75,1,135000
bruzzano_100,2,98,1,298000
bruzzano_101,2,95,2,290000
affori_000,1,70,100,250000
affori_000,1,50,2,170000
affori_000,1,35,2,109000
affori_000,1,65,2,120000
affori_000,1,36,4,85000
affori_000,1,60,2,168000
affori_000,1,48,100,150000
affori_000,1,55,2,159000
affori_000,1,50,6,235000
affori_000,1,40,2,100000
affori_000,1,90,100,190000
affori_000,1,58,2,150000
affori_000,1,90,100,190000
affori_000,1,35,100,105000
affori_000,1,75,4,145000
affori_000,1,25,3,89000
affori_000,1,81,7,207000
affori_000,1,40,5,200000
affori_000,1,75,5,235000
affori_000,1,70,3,185000
affori_000,1,90,3,299000
affori_000,1,75,3,180000
affori_000,1,65,2,160000
affori_000,1,45,2,135000
affori_000,1,55,3,159000
affori_000,1,56,100,250000
affori_000,1,45,2,139000
affori_000,1,50,100,125000
affori_000,1,70,7,255000
